Date;Price;Vol;%Change
Jul 24, 2020;94.44;-;-0.26%
Jul 23, 2020;94.69;-;-0.32%
Jul 22, 2020;94.99;-;-0.14%
Jul 21, 2020;95.12;-;-0.74%
Jul 20, 2020;95.83;-;-0.11%
Jul 17, 2020;95.94;-;-0.43%
Jul 16, 2020;96.35;-;0.28%
Jul 15, 2020;96.08;-;-0.19%
Jul 14, 2020;96.26;-;-0.21%
Jul 13, 2020;96.46;-;-0.20%
Jul 10, 2020;96.65;-;-0.05%
Jul 09, 2020;96.70;-;0.28%
Jul 08, 2020;96.43;-;-0.46%
Jul 07, 2020;96.88;-;0.17%
Jul 06, 2020;96.72;-;-0.46%
Jul 03, 2020;97.17;-;-0.15%
Jul 02, 2020;97.32;-;0.12%
Jul 01, 2020;97.20;-;-0.20%
Jun 30, 2020;97.39;-;-0.15%
Jun 29, 2020;97.54;-;0.11%
Jun 26, 2020;97.43;-;0.00%
Jun 25, 2020;97.43;-;0.29%
Jun 24, 2020;97.15;-;0.52%
Jun 23, 2020;96.65;-;-0.40%
Jun 22, 2020;97.04;-;-0.59%
Jun 19, 2020;97.62;-;0.21%
Jun 18, 2020;97.42;-;0.27%
Jun 17, 2020;97.16;-;0.21%
Jun 16, 2020;96.96;-;0.26%
Jun 15, 2020;96.71;-;-0.63%
Jun 12, 2020;97.32;-;0.61%
Jun 11, 2020;96.73;-;0.80%
Jun 10, 2020;95.96;-;-0.37%
Jun 09, 2020;96.32;-;-0.31%
Jun 08, 2020;96.62;-;-0.33%
Jun 05, 2020;96.94;-;0.27%
Jun 04, 2020;96.68;-;-0.62%
Jun 03, 2020;97.28;-;-0.40%
Jun 02, 2020;97.67;-;-0.16%
Jun 01, 2020;97.83;-;-0.52%
May 29, 2020;98.34;-;-0.04%
May 28, 2020;98.38;-;-0.69%
May 27, 2020;99.06;-;0.15%
May 26, 2020;98.91;-;-0.95%
May 25, 2020;99.86;-;0.00%
May 22, 2020;99.86;-;0.49%
May 21, 2020;99.37;-;0.25%
May 20, 2020;99.12;-;-0.25%
May 19, 2020;99.37;-;-0.30%
May 18, 2020;99.67;-;-0.73%
May 15, 2020;100.40;-;-0.07%
May 14, 2020;100.47;-;0.23%
May 13, 2020;100.24;-;0.31%
May 12, 2020;99.93;-;-0.31%
May 11, 2020;100.24;-;0.51%
May 08, 2020;99.73;-;-0.16%
May 07, 2020;99.89;-;-0.20%
May 06, 2020;100.09;-;0.38%
May 05, 2020;99.71;-;0.23%
May 04, 2020;99.48;-;0.40%
May 01, 2020;99.08;-;0.06%
Apr 30, 2020;99.02;-;-0.54%
Apr 29, 2020;99.56;-;-0.30%
Apr 28, 2020;99.86;-;-0.18%
Apr 27, 2020;100.04;-;-0.34%
Apr 24, 2020;100.38;-;-0.05%
Apr 23, 2020;100.43;-;0.04%
Apr 22, 2020;100.39;-;0.13%
Apr 21, 2020;100.26;-;0.31%
Apr 20, 2020;99.95;-;0.17%
Apr 17, 2020;99.78;-;-0.25%
Apr 16, 2020;100.03;-;0.57%
Apr 15, 2020;99.46;-;0.58%
Apr 14, 2020;98.89;-;-0.46%
Apr 13, 2020;99.35;-;-0.17%
Apr 10, 2020;99.52;-;0.00%
Apr 09, 2020;99.52;-;-0.60%
Apr 08, 2020;100.12;-;0.22%
